line_name,name,address,road_address,x,y,city_name,county_name,town_name
2호선,봉천,서울특별시 관악구 봉천동 979-7 봉천역(2호선),서울특별시 관악구 남부순환로 지하1721(봉천동),126.942835953538,37.4822899027313,서울,관악구,봉천동
1호선,서울,서울특별시 중구 남대문로5가 73-6 서울역(1호선),서울특별시 중구 세종대로 지하2(남대문로 5가),126.972559906677,37.5569027906782,서울,중구,남대문로5가
1호선,시청,서울특별시 중구 정동 5-5 시청역(1호선),서울특별시 중구 세종대로 지하101(정동),126.976944701063,37.5656084379833,서울,중구,정동
1호선,종각,서울특별시 종로구 종로1가 54 종각역(1호선),서울특별시 종로구 종로 지하55(종로1가),126.981415752051,37.5702325959004,서울,종로구,종로1가
1호선,종로3가,서울특별시 종로구 종로3가 10-5 종로3가역(1호선),서울특별시 종로구 종로 지하129(종로3가),126.991117384357,37.570516997425,서울,종로구,종로3가
1호선,종로5가,서울특별시 종로구 종로5가 82-1 종로5가역(1호선),서울특별시 종로구 종로 지하216(종로5가),127.001942459411,37.5710311532308,서울,종로구,종로5가
1호선,동대문,서울특별시 종로구 창신동 492-1 동대문역(1호선),서울특별시 종로구 종로 지하302(창신동),127.011257206368,37.5717670158726,서울,종로구,창신동
1호선,신설동,서울특별시 동대문구 신설동 76-5 신설동역(1호선),서울특별시 동대문구 왕산로 지하1(신설동),127.025960657786,37.5764587007057,서울,동대문구,신설동
1호선,제기동,서울특별시 동대문구 제기동 65 제기동역(1호선),서울특별시 동대문구 왕산로 지하93(제기동),127.038773703339,37.5782714117807,서울,동대문구,제기동
1호선,청량리(서울시립대입구),서울특별시 동대문구 전농동 620-69 청량리역(1호선),서울특별시 동대문구 왕산로 지하205(전농동),127.046026412905,37.5798178856903,서울,동대문구,전농동
1호선,동묘앞,서울특별시 종로구 숭인동 117 동묘앞역(1호선),서울특별시 종로구 종로 359(숭인동),127.017139169849,37.5735966798012,서울,종로구,숭인동
2호선,시청,서울특별시 중구 서소문동 90-1 시청역(2호선),서울특별시 중구 서소문로 지하127(서소문동),126.975519079306,37.5635628895446,서울,중구,서소문동
2호선,을지로입구,서울특별시 중구 을지로1가 100-1 을지로입구역(2호선),서울특별시 중구 을지로 지하42(을지로1가),126.982084266762,37.5660595575016,서울,중구,을지로1가
2호선,을지로3가,서울특별시 중구 을지로3가 347-3 을지로3가역(2호선),서울특별시 중구 을지로 지하106(을지로3가),126.990228451524,37.5662107085093,서울,중구,을지로3가
2호선,을지로4가,서울특별시 중구 을지로4가 267-1 을지로4가역(2호선),서울특별시 중구 을지로 지하178(을지로4가),126.996543286889,37.5665283029681,서울,중구,을지로4가
2호선,동대문역사문화공원(DDP),서울특별시 중구 을지로 7가 112-3 동대문역사문화공원역(2호선),서울특별시 중구 을지로 지하279(을지로7가),127.008561501324,37.565774720382,서울,중구,을지로7가
2호선,신당,서울특별시 중구 신당동 99 신당역(2호선),서울특별시 중구 퇴계로 지하431-1(신당동),127.016667203663,37.5653254285684,서울,중구,신당동
