법정구역,2024년02월_계_총세대수,2024년02월_계_연령구간세대수,2024년02월_계_20~29세,2024년02월_계_30~39세,2024년02월_남_총세대수,2024년02월_남_연령구간세대수,2024년02월_남_20~29세,2024년02월_남_30~39세,2024년02월_여_총세대수,2024년02월_여_연령구간세대수,2024년02월_여_20~29세,2024년02월_여_30~39세,2030_1인가구_비율,2030(여성)_1인가구_비율,2030(남성)_1인가구_비율
효제동,576.0,401.0,266,135,307.0,196.0,112,84,269.0,205.0,154,51,0.6961805555555556,0.7620817843866171,0.6384364820846905
종로5가,189.0,65.0,43,22,101.0,23.0,16,7,88.0,42.0,27,15,0.3439153439153439,0.4772727272727273,0.22772277227722773
종로6가,167.0,29.0,11,18,112.0,16.0,5,11,55.0,13.0,6,7,0.17365269461077845,0.23636363636363636,0.14285714285714285
이화동,626.0,282.0,150,132,320.0,144.0,59,85,306.0,138.0,91,47,0.4504792332268371,0.45098039215686275,0.45
연건동,865.0,653.0,449,204,373.0,283.0,197,86,492.0,370.0,252,118,0.7549132947976879,0.7520325203252033,0.7587131367292225
충신동,957.0,320.0,146,174,570.0,189.0,75,114,387.0,131.0,71,60,0.3343782654127482,0.3385012919896641,0.33157894736842103
동숭동,1292.0,681.0,356,325,602.0,315.0,153,162,690.0,366.0,203,163,0.5270897832817337,0.5304347826086957,0.5232558139534884
혜화동,966.0,567.0,394,173,415.0,233.0,147,86,551.0,334.0,247,87,0.5869565217391305,0.6061705989110708,0.5614457831325301
명륜1가,1258.0,847.0,633,214,618.0,445.0,326,119,640.0,402.0,307,95,0.6732909379968204,0.628125,0.7200647249190939
명륜2가,930.0,614.0,480,134,421.0,298.0,223,75,509.0,316.0,257,59,0.6602150537634408,0.6208251473477406,0.7078384798099763
명륜4가,377.0,248.0,172,76,197.0,137.0,92,45,180.0,111.0,80,31,0.6578249336870027,0.6166666666666667,0.6954314720812182
명륜3가,2212.0,1494.0,"1,147",347,1234.0,883.0,655,228,978.0,611.0,492,119,0.6754068716094033,0.6247443762781186,0.7155591572123177
창신동,4527.0,999.0,367,632,2497.0,565.0,168,397,2030.0,434.0,199,235,0.220675944333996,0.21379310344827587,0.2262715258309972
숭인동,6437.0,3341.0,"1,976","1,365",3178.0,1421.0,699,722,3259.0,1920.0,"1,277",643,0.519030604318782,0.5891377723227984,0.44713656387665196
교남동,44.0,12.0,6,6,23.0,6.0,2,4,21.0,6.0,4,2,0.2727272727272727,0.2857142857142857,0.2608695652173913
평동,88.0,17.0,1,16,34.0,12.0,1,11,54.0,5.0,0,5,0.19318181818181818,0.09259259259259259,0.35294117647058826
송월동,46.0,9.0,2,7,15.0,3.0,1,2,31.0,6.0,1,5,0.1956521739130435,0.1935483870967742,0.2
홍파동,132.0,28.0,10,18,47.0,13.0,3,10,85.0,15.0,7,8,0.21212121212121213,0.17647058823529413,0.2765957446808511
교북동,221.0,112.0,33,79,71.0,38.0,5,33,150.0,74.0,28,46,0.5067873303167421,0.49333333333333335,0.5352112676056338
행촌동,1094.0,385.0,166,219,444.0,168.0,62,106,650.0,217.0,104,113,0.35191956124314444,0.33384615384615385,0.3783783783783784
구기동,637.0,171.0,62,109,247.0,83.0,27,56,390.0,88.0,35,53,0.2684458398744113,0.22564102564102564,0.3360323886639676
평창동,1611.0,422.0,123,299,650.0,226.0,56,170,961.0,196.0,67,129,0.26194909993792675,0.20395421436004163,0.3476923076923077
부암동,857.0,304.0,116,188,361.0,141.0,51,90,496.0,163.0,65,98,0.3547257876312719,0.3286290322580645,0.39058171745152354
홍지동,345.0,135.0,71,64,155.0,70.0,34,36,190.0,65.0,37,28,0.391304347826087,0.34210526315789475,0.45161290322580644
신영동,481.0,122.0,26,96,194.0,59.0,9,50,287.0,63.0,17,46,0.25363825363825365,0.21951219512195122,0.30412371134020616
무악동,710.0,111.0,20,91,280.0,65.0,10,55,430.0,46.0,10,36,0.1563380281690141,0.10697674418604651,0.23214285714285715
무교동,6.0,0.0,0,0,4.0,0.0,0,0,2.0,0.0,0,0,0.0,0.0,0.0
다동,41.0,11.0,6,5,30.0,9.0,5,4,11.0,2.0,1,1,0.2682926829268293,0.18181818181818182,0.3
태평로1가,2.0,0.0,0,0,1.0,0.0,0,0,1.0,0.0,0,0,0.0,0.0,0.0
을지로1가,1.0,0.0,0,0,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0
을지로2가,43.0,16.0,8,8,32.0,10.0,5,5,11.0,6.0,3,3,0.37209302325581395,0.5454545454545454,0.3125
남대문로1가,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0
삼각동,1.0,0.0,0,0,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0
수하동,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0
장교동,2.0,0.0,0,0,1.0,0.0,0,0,1.0,0.0,0,0,0.0,0.0,0.0
수표동,5.0,0.0,0,0,4.0,0.0,0,0,1.0,0.0,0,0,0.0,0.0,0.0
소공동,1.0,0.0,0,0,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0
남창동,164.0,28.0,12,16,90.0,14.0,5,9,74.0,14.0,7,7,0.17073170731707318,0.1891891891891892,0.15555555555555556
북창동,129.0,35.0,12,23,90.0,26.0,8,18,39.0,9.0,4,5,0.2713178294573643,0.23076923076923078,0.28888888888888886
태평로2가,43.0,14.0,7,7,30.0,8.0,2,6,13.0,6.0,5,1,0.32558139534883723,0.46153846153846156,0.26666666666666666
남대문로2가,1.0,0.0,0,0,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0
남대문로3가,8.0,0.0,0,0,3.0,0.0,0,0,5.0,0.0,0,0,0.0,0.0,0.0
남대문로4가,2.0,1.0,0,1,2.0,1.0,0,1,0.0,0.0,0,0,0.5,0.0,0.5
남대문로5가,400.0,11.0,1,10,341.0,7.0,0,7,59.0,4.0,1,3,0.0275,0.06779661016949153,0.020527859237536656
봉래동1가,41.0,1.0,0,1,41.0,1.0,0,1,0.0,0.0,0,0,0.024390243902439025,0.0,0.024390243902439025
봉래동2가,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0
회현동1가,929.0,236.0,93,143,505.0,136.0,58,78,424.0,100.0,35,65,0.25403659849300325,0.2358490566037736,0.2693069306930693
회현동2가,153.0,40.0,17,23,61.0,15.0,5,10,92.0,25.0,12,13,0.26143790849673204,0.2717391304347826,0.2459016393442623
회현동3가,26.0,9.0,4,5,15.0,6.0,2,4,11.0,3.0,2,1,0.34615384615384615,0.2727272727272727,0.4
충무로1가,11.0,2.0,1,1,8.0,1.0,0,1,3.0,1.0,1,0,0.18181818181818182,0.3333333333333333,0.125
충무로2가,216.0,170.0,95,75,105.0,76.0,31,45,111.0,94.0,64,30,0.7870370370370371,0.8468468468468469,0.7238095238095238
명동1가,10.0,2.0,1,1,7.0,2.0,1,1,3.0,0.0,0,0,0.2,0.0,0.2857142857142857
명동2가,45.0,4.0,1,3,36.0,4.0,1,3,9.0,0.0,0,0,0.08888888888888889,0.0,0.1111111111111111
남산동1가,75.0,21.0,8,13,43.0,13.0,5,8,32.0,8.0,3,5,0.28,0.25,0.3023255813953488
남산동2가,249.0,84.0,39,45,137.0,54.0,25,29,112.0,30.0,14,16,0.3373493975903614,0.26785714285714285,0.39416058394160586
남산동3가,26.0,13.0,5,8,14.0,7.0,2,5,12.0,6.0,3,3,0.5,0.5,0.5
저동1가,7.0,0.0,0,0,4.0,0.0,0,0,3.0,0.0,0,0,0.0,0.0,0.0
